"init_id","title","init_text"
"09-0073","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0073%20%28i870_initiative_09-0073%29.pdf"
"09-0072","ESTABLISHES $18 ANNUAL VEHICLE LICENSE SURCHARGE TO HELP FUND STATE PARKS AND WILDLIFE PROGRAMS AND GRANTS FREE ADMISSION TO ALL STATE PARKS TO SURCHARGED VEHICLES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0072%20%28i869_initiative_09-0072%29.pdf"
"09-0071","CHANGES LAW TO PROHIBIT STATE IN FISCAL EMERGENCIES FROM USING LOCAL-GOVERNMENT AND TRANSPORTATION FUNDS FOR OTHER PURPOSES.  ALLOWS LOCAL SALES AND USE TAX INCREASES BY MAJORITY VOTE FOR COUNTYWIDE S","http://oag.ca.gov/system/files/initiatives/pdfs/09-0071%20%28i867_initiative_09-0071_amdt1s%29.pdf"
"09-0070","CHANGES STATE BUDGET PROCESS IN SEVERAL WAYS.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0070%20%28i866_09-0070_amdt_1s%29.pdf"
"09-0069","PROHIBITS LEGISLATORS FROM VOTING ON LEGISLATION THAT FINANCIALLY AFFECTS CONTRIBUTORS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0069%20%28i868_initiative_09-0069%29.pdf"
"09-0068","CHANGES VOTER APPROVAL REQUIREMENT FOR LOCAL EDUCATION SPECIAL TAXES TO 55% FROM TWO-THIRDS SO LONG AS ACCOUNTABILITY REQUIREMENTS MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0068%20%28i865_initiative_09-0068%29.pdf"
"09-0067","CALLS A LIMITED CONVENTION TO PROPOSE CHANGES TO STATE CONSTITUTION.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0067%20%28i864_initiative_09-0067%29.pdf"
"09-0066","ALLOWS VOTERS TO PLACE QUESTION OF CALLING A CONSTITUTIONAL CONVENTION ON THE BALLOT.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0066%20%28i863_initiative_09-0066%29.pdf"
"09-0065","IMPOSES ADDITIONAL TAX ON CIGARETTES FOR CANCER RESEARCH.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0065%20%28i862_09-0065_amdt_2ns%29.pdf"
"09-0064","PROHIBITS THE STATE FROM TAKING FUNDS USED FOR TRANSPORTATION OR LOCAL GOVERNMENT PROJECTS AND SERVICES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0064%20%28i861_initiative_09-0064%29.pdf"
"09-0063","PROHIBITS THE STATE FROM TAKING FUNDS USED FOR TRANSPORTATION OR LOCAL GOVERNMENT PROJECTS AND SERVICES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0063%20%28i860_initiative_09-0063_amdt_1-ns%29.pdf"
"09-0062","REQUIRES PARENTAL NOTIFICATION BEFORE TERMINATING PREGNANCY OF FEMALE UNDER 18. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0062%20%28i859_initiative_09-0062%29.pdf"
